ablation,metrics,source
all_without_caduceus,"{""accuracy"": 0.8991596638655462, ""auprc"": 0.9145868282386201, ""auroc"": 0.95430366136608, ""balanced_accuracy"": 0.8321826721747496, ""brier"": 0.07578742308506889, ""confusion_matrix"": {""fn"": 52, ""fp"": 8, ""tn"": 423, ""tp"": 112}, ""coverage"": 1.0, ""ece"": 0.0477265230828226, ""f1"": 0.7887323943661972, ""max_calibration_gap"": 0.348338795402072, ""mcc"": 0.7398268712916092, ""n"": 595, ""n_negative"": 431, ""n_positive"": 164, ""nll"": 0.2564563693162949, ""precision"": 0.9333333333333333, ""recall"": 0.6829268292682927, ""sensitivity"": 0.6829268292682927, ""specificity"": 0.9814385150812065}","{""derived_from"": ""all_fusion"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 41], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/all_fusion.jsonl"", ""feature_artifact_sha256"": ""458f240feac4b5b409cbbefbd71080b6f5857a236fcc9550084f2d77789066b7"", ""layer"": ""all_fusion"", ""locked_test_evaluated"": false, ""model_id"": ""formal_all_fusion"", ""train_count"": 2296, ""validation_count"": 595}, ""path"": ""research/runs/phase8_formal_features_20260922/all_fusion.jsonl"", ""sha256"": ""458f240feac4b5b409cbbefbd71080b6f5857a236fcc9550084f2d77789066b7""}}"
all_without_comparators,"{""accuracy"": 0.8151260504201681, ""auprc"": 0.8630597959957428, ""auroc"": 0.9307764133325788, ""balanced_accuracy"": 0.668411521702224, ""brier"": 0.12274269767967656, ""confusion_matrix"": {""fn"": 108, ""fp"": 2, ""tn"": 429, ""tp"": 56}, ""coverage"": 1.0, ""ece"": 0.10089192775483045, ""f1"": 0.5045045045045046, ""max_calibration_gap"": 0.44172664760857083, ""mcc"": 0.5074125623434781, ""n"": 595, ""n_negative"": 431, ""n_positive"": 164, ""nll"": 0.38905719450904186, ""precision"": 0.9655172413793104, ""recall"": 0.34146341463414637, ""sensitivity"": 0.34146341463414637, ""specificity"": 0.9953596287703016}","{""derived_from"": ""all_fusion"", ""indices"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/all_fusion.jsonl"", ""feature_artifact_sha256"": ""458f240feac4b5b409cbbefbd71080b6f5857a236fcc9550084f2d77789066b7"", ""layer"": ""all_fusion"", ""locked_test_evaluated"": false, ""model_id"": ""formal_all_fusion"", ""train_count"": 2296, ""validation_count"": 595}, ""path"": ""research/runs/phase8_formal_features_20260922/all_fusion.jsonl"", ""sha256"": ""458f240feac4b5b409cbbefbd71080b6f5857a236fcc9550084f2d77789066b7""}}"
all_without_evo2,"{""accuracy"": 0.9680672268907563, ""auprc"": 0.9942273532928474, ""auroc"": 0.9978495840642861, ""balanced_accuracy"": 0.9515166091336087, ""brier"": 0.022660494994589823, ""confusion_matrix"": {""fn"": 14, ""fp"": 5, ""tn"": 426, ""tp"": 150}, ""coverage"": 1.0, ""ece"": 0.038785510954584455, ""f1"": 0.9404388714733544, ""max_calibration_gap"": 0.7265352075911, ""mcc"": 0.9193314088648672, ""n"": 595, ""n_negative"": 431, ""n_positive"": 164, ""nll"": 0.08641295870530924, ""precision"": 0.967741935483871, ""recall"": 0.9146341463414634, ""sensitivity"": 0.9146341463414634, ""specificity"": 0.988399071925754}","{""derived_from"": ""all_fusion"", ""indices"": [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/all_fusion.jsonl"", ""feature_artifact_sha256"": ""458f240feac4b5b409cbbefbd71080b6f5857a236fcc9550084f2d77789066b7"", ""layer"": ""all_fusion"", ""locked_test_evaluated"": false, ""model_id"": ""formal_all_fusion"", ""train_count"": 2296, ""validation_count"": 595}, ""path"": ""research/runs/phase8_formal_features_20260922/all_fusion.jsonl"", ""sha256"": ""458f240feac4b5b409cbbefbd71080b6f5857a236fcc9550084f2d77789066b7""}}"
all_without_nt,"{""accuracy"": 0.9663865546218487, ""auprc"": 0.9931600953391708, ""auroc"": 0.9974676022862317, ""balanced_accuracy"": 0.9484678286458039, ""brier"": 0.02433357848725372, ""confusion_matrix"": {""fn"": 15, ""fp"": 5, ""tn"": 426, ""tp"": 149}, ""coverage"": 1.0, ""ece"": 0.050591763796170204, ""f1"": 0.9371069182389937, ""max_calibration_gap"": 0.6657849960752702, ""mcc"": 0.9150444547469092, ""n"": 595, ""n_negative"": 431, ""n_positive"": 164, ""nll"": 0.0971960946738375, ""precision"": 0.9675324675324676, ""recall"": 0.9085365853658537, ""sensitivity"": 0.9085365853658537, ""specificity"": 0.988399071925754}","{""derived_from"": ""all_fusion"", ""indices"": [0, 1, 2, 3, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/all_fusion.jsonl"", ""feature_artifact_sha256"": ""458f240feac4b5b409cbbefbd71080b6f5857a236fcc9550084f2d77789066b7"", ""layer"": ""all_fusion"", ""locked_test_evaluated"": false, ""model_id"": ""formal_all_fusion"", ""train_count"": 2296, ""validation_count"": 595}, ""path"": ""research/runs/phase8_formal_features_20260922/all_fusion.jsonl"", ""sha256"": ""458f240feac4b5b409cbbefbd71080b6f5857a236fcc9550084f2d77789066b7""}}"
cad16_aggregate,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.32581337768689667, ""auroc"": 0.5582459708965734, ""balanced_accuracy"": 0.5, ""brier"": 0.20785254487246765, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09290940570616119, ""f1"": 0.0, ""max_calibration_gap"": 0.09290940570616119, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138198728003222, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""cad16"", ""indices"": [2], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_16_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""dfaa9ea1b9b70ec8c1723174bf37583c9e8330dbd2834e8a53205912995ef4cc"", ""layer"": ""16:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""caduceus"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_16_scalar_summary.jsonl"", ""sha256"": ""dfaa9ea1b9b70ec8c1723174bf37583c9e8330dbd2834e8a53205912995ef4cc""}}"
cad16_forward,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.30934787052904267, ""auroc"": 0.5425911437959631, ""balanced_accuracy"": 0.5, ""brier"": 0.20785254561428285, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09290940692298466, ""f1"": 0.0, ""max_calibration_gap"": 0.09290940692298466, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138198752944024, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""cad16"", ""indices"": [0], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_16_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""dfaa9ea1b9b70ec8c1723174bf37583c9e8330dbd2834e8a53205912995ef4cc"", ""layer"": ""16:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""caduceus"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_16_scalar_summary.jsonl"", ""sha256"": ""dfaa9ea1b9b70ec8c1723174bf37583c9e8330dbd2834e8a53205912995ef4cc""}}"
cad16_reverse,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.3106143382287878, ""auroc"": 0.5505945861367548, ""balanced_accuracy"": 0.5, ""brier"": 0.20785254493930796, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09290940715399196, ""f1"": 0.0, ""max_calibration_gap"": 0.09290940715399196, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.613819873025048, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""cad16"", ""indices"": [1], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_16_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""dfaa9ea1b9b70ec8c1723174bf37583c9e8330dbd2834e8a53205912995ef4cc"", ""layer"": ""16:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""caduceus"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_16_scalar_summary.jsonl"", ""sha256"": ""dfaa9ea1b9b70ec8c1723174bf37583c9e8330dbd2834e8a53205912995ef4cc""}}"
cad4_aggregate,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.23193951044012587, ""auroc"": 0.392145204193397, ""balanced_accuracy"": 0.5, ""brier"": 0.20785255291151927, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09290942101424393, ""f1"": 0.0, ""max_calibration_gap"": 0.09290942101424393, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.613819899828667, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""cad4"", ""indices"": [2], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_4_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""1acac52c781571129ff118ff488b983afb3e9fe6b39ca2af2c682ed3d9152b41"", ""layer"": ""4:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""caduceus"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_4_scalar_summary.jsonl"", ""sha256"": ""1acac52c781571129ff118ff488b983afb3e9fe6b39ca2af2c682ed3d9152b41""}}"
cad4_forward,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.2216513177109472, ""auroc"": 0.379197308715381, ""balanced_accuracy"": 0.5, ""brier"": 0.20785255853985485, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09290943024521398, ""f1"": 0.0, ""max_calibration_gap"": 0.09290943024521398, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138199187518721, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""cad4"", ""indices"": [0], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_4_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""1acac52c781571129ff118ff488b983afb3e9fe6b39ca2af2c682ed3d9152b41"", ""layer"": ""4:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""caduceus"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_4_scalar_summary.jsonl"", ""sha256"": ""1acac52c781571129ff118ff488b983afb3e9fe6b39ca2af2c682ed3d9152b41""}}"
cad4_reverse,"{""accuracy"": 0.7253433208489388, ""auprc"": 0.23524572308172453, ""auroc"": 0.39025974025974025, ""balanced_accuracy"": 0.5, ""brier"": 0.2078525578295096, ""confusion_matrix"": {""fn"": 220, ""fp"": 0, ""tn"": 581, ""tp"": 0}, ""coverage"": 1.0, ""ece"": 0.09290943401149454, ""f1"": 0.0, ""max_calibration_gap"": 0.09290943401149454, ""mcc"": 0.0, ""n"": 801, ""n_negative"": 581, ""n_positive"": 220, ""nll"": 0.6138199163635966, ""precision"": 0.0, ""recall"": 0.0, ""sensitivity"": 0.0, ""specificity"": 1.0}","{""derived_from"": ""cad4"", ""indices"": [1], ""source"": {""metadata"": {""feature_artifact"": ""/Users/utkarshkhajuria/Desktop/EvoVariant/research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_4_scalar_summary.jsonl"", ""feature_artifact_sha256"": ""1acac52c781571129ff118ff488b983afb3e9fe6b39ca2af2c682ed3d9152b41"", ""layer"": ""4:scalar_summary"", ""locked_test_evaluated"": false, ""model_id"": ""caduceus"", ""train_count"": 3199, ""validation_count"": 801}, ""path"": ""research/runs/phase8_formal_features_20260922/caduceus/caduceus_layer_4_scalar_summary.jsonl"", ""sha256"": ""1acac52c781571129ff118ff488b983afb3e9fe6b39ca2af2c682ed3d9152b41""}}"
