feature_set,classifier,model_id,auroc,auprc,mcc,brier,validation_count
all_fusion,decision_stump,all_fusion__decision_stump,0.961823043404448,0.9367974567713343,0.9364385250567018,0.025210084033613446,595
all_fusion,logistic_regression,all_fusion__logistic_regression,0.9978495840642861,0.9942273532928474,0.9193314088648672,0.022660434521421732,595
all_fusion,mlp,all_fusion__mlp,0.9980193537434214,0.9947600640607389,0.9451895149871077,0.01608034236206087,595
cad16,decision_stump,cad16__decision_stump,0.4991394148020654,0.28536481001595304,-0.0217559614557488,0.2759051186017478,801
cad16,logistic_regression,cad16__logistic_regression,0.5510718197465185,0.31524808672446747,0.0,0.2094289689744166,801
cad16,mlp,cad16__mlp,0.45671256454388987,0.2751221038222901,0.0,0.1993846013950582,801
cad4,decision_stump,cad4__decision_stump,0.5,0.2868719869530226,0.0,0.2746566791510612,801
cad4,logistic_regression,cad4__logistic_regression,0.4106790799561884,0.24725392144973599,0.0,0.20942900828012959,801
cad4,mlp,cad4__mlp,0.6212486308871851,0.3732004719939732,0.0,0.19938460138899491,801
cad8,decision_stump,cad8__decision_stump,0.5028242841495854,0.29411313425258295,0.035766680449326814,0.2746566791510612,801
cad8,logistic_regression,cad8__logistic_regression,0.4501877640431857,0.24248519521378936,0.0,0.2094291624960169,801
cad8,mlp,cad8__mlp,0.5620638397746831,0.3220427077514025,0.0,0.19938459361012165,801
cadd,decision_stump,cadd__decision_stump,0.961823043404448,0.9367974567713343,0.9364385250567018,0.025210084033613446,595
cadd,logistic_regression,cadd__logistic_regression,0.997792994171241,0.994431549779104,0.9321902962489803,0.02905746593528017,595
cadd,mlp,cadd__mlp,0.997637371965367,0.9941758904103501,0.9537980869306616,0.016669331571108673,595
cadd_phylop,decision_stump,cadd_phylop__decision_stump,0.961823043404448,0.9367974567713343,0.9364385250567018,0.025210084033613446,595
cadd_phylop,logistic_regression,cadd_phylop__logistic_regression,0.9968734084092581,0.9914078650915392,0.9279764709285675,0.03092360774392374,595
cadd_phylop,mlp,cadd_phylop__mlp,0.9974534548129704,0.9932385789337027,0.9581033441604077,0.016915859144271198,595
evo2,decision_stump,evo2__decision_stump,0.9522062275074323,0.9047780511494954,0.9178306435281215,0.03245942571785269,801
evo2,logistic_regression,evo2__logistic_regression,0.9886872163980598,0.9740397889584589,0.0,0.2078426277876844,801
evo2,mlp,evo2__mlp,0.9886168048818651,0.974040023694699,0.0,0.1980986812800046,801
foundation_fusion,decision_stump,foundation_fusion__decision_stump,0.9522062275074323,0.9047780511494954,0.9178306435281215,0.03245942571785269,801
foundation_fusion,logistic_regression,foundation_fusion__logistic_regression,0.9193318729463308,0.8466798053055028,0.5211253722604055,0.12388923068338185,801
foundation_fusion,mlp,foundation_fusion__mlp,0.9509544672195275,0.9162011623620326,0.7680596961175238,0.07270225825474487,801
nt16,decision_stump,nt16__decision_stump,0.8308245970896573,0.8037558123666677,0.7238112068704576,0.10611735330836454,801
nt16,logistic_regression,nt16__logistic_regression,0.9444531372242215,0.8960073303023443,0.08130520215302436,0.18238244565281522,801
nt16,mlp,nt16__mlp,0.9490846502894695,0.9095727813268624,0.7554984533171528,0.07507264561779521,801
nt24,decision_stump,nt24__decision_stump,0.7641214207479268,0.7099672085176549,0.6394404281809609,0.1373283395755306,801
nt24,logistic_regression,nt24__logistic_regression,0.9123141918322641,0.8314232129313485,0.4393061879012454,0.13546667915590277,801
nt24,mlp,nt24__mlp,0.9236817399468001,0.8729976073794988,0.696738639855325,0.09129839260410495,801
nt8,decision_stump,nt8__decision_stump,0.7732123298388358,0.7363573449413519,0.6534530372725255,0.132334581772784,801
nt8,logistic_regression,nt8__logistic_regression,0.8845642309497731,0.8250519077297698,0.0,0.2045484753157522,801
nt8,mlp,nt8__mlp,0.8849710530433422,0.8279801080256738,0.6609471080997303,0.10716272181360531,801
phylop,decision_stump,phylop__decision_stump,0.7686668752933813,0.7144497861398869,0.6464627451903601,0.1348314606741573,801
phylop,logistic_regression,phylop__logistic_regression,0.9102487873572211,0.8527069480965731,0.6834201611716592,0.09613201692923261,801
phylop,mlp,phylop__mlp,0.9102487873572211,0.8527069480965731,0.6552199867365086,0.09577006251030822,801
