feature_set,l2,learning_rate,objective,scope,selection_split,steps,trial_id
all_fusion,0.0,0.05,0.9952464489842114,bounded formal development HPO,VALIDATION,100,all_fusion::trial_0
all_fusion,0.0,0.1,0.9978495840642861,bounded formal development HPO,VALIDATION,200,all_fusion::trial_1
all_fusion,0.01,0.05,0.9968026710429517,bounded formal development HPO,VALIDATION,200,all_fusion::trial_2
all_fusion,0.01,0.1,0.9980759436364666,bounded formal development HPO,VALIDATION,400,all_fusion::trial_3
cad16,0.0,0.05,0.5508840557033328,bounded formal development HPO,VALIDATION,100,cad16::trial_0
cad16,0.0,0.1,0.5510718197465185,bounded formal development HPO,VALIDATION,200,cad16::trial_1
cad16,0.01,0.05,0.5510248787357221,bounded formal development HPO,VALIDATION,200,cad16::trial_2
cad16,0.01,0.1,0.5519949929588484,bounded formal development HPO,VALIDATION,400,cad16::trial_3
cad4,0.0,0.05,0.40974808324205914,bounded formal development HPO,VALIDATION,100,cad4::trial_0
cad4,0.0,0.1,0.4106790799561884,bounded formal development HPO,VALIDATION,200,cad4::trial_1
cad4,0.01,0.05,0.4099436707870443,bounded formal development HPO,VALIDATION,200,cad4::trial_2
cad4,0.01,0.1,0.41248630887185106,bounded formal development HPO,VALIDATION,400,cad4::trial_3
cad8,0.0,0.05,0.4446565482710061,bounded formal development HPO,VALIDATION,100,cad8::trial_0
cad8,0.0,0.1,0.4501877640431857,bounded formal development HPO,VALIDATION,200,cad8::trial_1
cad8,0.01,0.05,0.44512595837897045,bounded formal development HPO,VALIDATION,200,cad8::trial_2
cad8,0.01,0.1,0.582131121890158,bounded formal development HPO,VALIDATION,400,cad8::trial_3
cadd,0.0,0.05,0.997792994171241,bounded formal development HPO,VALIDATION,100,cadd::trial_0
cadd,0.0,0.1,0.997792994171241,bounded formal development HPO,VALIDATION,200,cadd::trial_1
cadd,0.01,0.05,0.997792994171241,bounded formal development HPO,VALIDATION,200,cadd::trial_2
cadd,0.01,0.1,0.997792994171241,bounded formal development HPO,VALIDATION,400,cadd::trial_3
cadd_phylop,0.0,0.05,0.9881019749872673,bounded formal development HPO,VALIDATION,100,cadd_phylop::trial_0
cadd_phylop,0.0,0.1,0.9968734084092581,bounded formal development HPO,VALIDATION,200,cadd_phylop::trial_1
cadd_phylop,0.01,0.05,0.9948786146794183,bounded formal development HPO,VALIDATION,200,cadd_phylop::trial_2
cadd_phylop,0.01,0.1,0.9974534548129704,bounded formal development HPO,VALIDATION,400,cadd_phylop::trial_3
evo2,0.0,0.05,0.9887889219214521,bounded formal development HPO,VALIDATION,100,evo2::trial_0
evo2,0.0,0.1,0.9886872163980598,bounded formal development HPO,VALIDATION,200,evo2::trial_1
evo2,0.01,0.05,0.9887185104052574,bounded formal development HPO,VALIDATION,200,evo2::trial_2
evo2,0.01,0.1,0.9886637458926616,bounded formal development HPO,VALIDATION,400,evo2::trial_3
foundation_fusion,0.0,0.05,0.9183069942106087,bounded formal development HPO,VALIDATION,100,foundation_fusion::trial_0
foundation_fusion,0.0,0.1,0.9193318729463308,bounded formal development HPO,VALIDATION,200,foundation_fusion::trial_1
foundation_fusion,0.01,0.05,0.9187138163041777,bounded formal development HPO,VALIDATION,200,foundation_fusion::trial_2
foundation_fusion,0.01,0.1,0.9202863401658582,bounded formal development HPO,VALIDATION,400,foundation_fusion::trial_3
nt16,0.0,0.05,0.9449225473321858,bounded formal development HPO,VALIDATION,100,nt16::trial_0
nt16,0.0,0.1,0.9444531372242215,bounded formal development HPO,VALIDATION,200,nt16::trial_1
nt16,0.01,0.05,0.9445235487404162,bounded formal development HPO,VALIDATION,200,nt16::trial_2
nt16,0.01,0.1,0.9444218432170239,bounded formal development HPO,VALIDATION,400,nt16::trial_3
nt24,0.0,0.05,0.9124784853700516,bounded formal development HPO,VALIDATION,100,nt24::trial_0
nt24,0.0,0.1,0.9123141918322641,bounded formal development HPO,VALIDATION,200,nt24::trial_1
nt24,0.01,0.05,0.9123141918322641,bounded formal development HPO,VALIDATION,200,nt24::trial_2
nt24,0.01,0.1,0.9124315443592552,bounded formal development HPO,VALIDATION,400,nt24::trial_3
nt8,0.0,0.05,0.8842747613831952,bounded formal development HPO,VALIDATION,100,nt8::trial_0
nt8,0.0,0.1,0.8845642309497731,bounded formal development HPO,VALIDATION,200,nt8::trial_1
nt8,0.01,0.05,0.8845407604443749,bounded formal development HPO,VALIDATION,200,nt8::trial_2
nt8,0.01,0.1,0.8845485839461743,bounded formal development HPO,VALIDATION,400,nt8::trial_3
phylop,0.0,0.05,0.9102487873572211,bounded formal development HPO,VALIDATION,100,phylop::trial_0
phylop,0.0,0.1,0.9102487873572211,bounded formal development HPO,VALIDATION,200,phylop::trial_1
phylop,0.01,0.05,0.9102487873572211,bounded formal development HPO,VALIDATION,200,phylop::trial_2
phylop,0.01,0.1,0.9102487873572211,bounded formal development HPO,VALIDATION,400,phylop::trial_3
