x,x_numeric,y,series
0.1,0.1,0.9890627444844312,auroc
0.1,0.1,0.9735576049197217,auprc
0.1,0.1,0.19924443999236496,brier
0.1,0.1,0.0,mcc
0.1,0.1,0.0,f1
0.25,0.25,0.9887341574088562,auroc
0.25,0.25,0.9740117857964516,auprc
0.25,0.25,0.19925108390339918,brier
0.25,0.25,0.0,mcc
0.25,0.25,0.0,f1
0.5,0.5,0.9888984509466437,auroc
0.5,0.5,0.9740448362748036,auprc
0.5,0.5,0.19925361878892167,brier
0.5,0.5,0.0,mcc
0.5,0.5,0.0,f1
0.75,0.75,0.9888123924268503,auroc
0.75,0.75,0.9739986862652359,auprc
0.75,0.75,0.19927315593319295,brier
0.75,0.75,0.0,mcc
0.75,0.75,0.0,f1
1.0,1.0,0.9887889219214521,auroc
1.0,1.0,0.9739811950265087,auprc
1.0,1.0,0.1992251133430695,brier
1.0,1.0,0.0,mcc
1.0,1.0,0.0,f1
